경작지주소,산도,유기물,칼륨,강수량 합계,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Oct,20-Nov,20-Dec,2020-01-01(평균기온),2020-02-01(평균기온),2020-03-01(평균기온),2020-04-01(평균기온),2020-05-01(평균기온),2020-06-01(평균기온),2020-10-01(평균기온),2020-11-01(평균기온),2020-12-01(평균기온),2020-01-01(최저기온),2020-02-01(최저기온),2020-03-01(최저기온),2020-04-01(최저기온),2020-05-01(최저기온),2020-06-01(최저기온),2020-10-01(최저기온),2020-11-01(최저기온),2020-12-01(최저기온),2020-01-01(최고기온),2020-02-01(최고기온),2020-03-01(최고기온),2020-04-01(최고기온),2020-05-01(최고기온),2020-06-01(최고기온),2020-10-01(최고기온),2020-11-01(최고기온),2020-12-01(최고기온),최저라벨,최고기온,평균기온,강수량라벨,최종라벨링
강원도 강릉시 견소동,good_ph,good_orga,usually_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 교동,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 구정면 구정리,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 구정면 금광리,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 구정면 덕현리,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 구정면 어단리,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 구정면 여찬리,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 구정면 제비리,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 구정면 학산리,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 금학동,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 난곡동,good_ph,usually_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 남문동,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 남항진동,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 내곡동,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 노암동,high_ph,usually_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 담산동,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 대전동,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 두산동,good_ph,usually_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 명주동,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 박월동,good_ph,usually_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 병산동,good_ph,usually_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 사천면 노동리,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 사천면 덕실리,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 사천면 미노리,good_ph,3,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 사천면 방동리,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 사천면 사기막리,good_ph,3,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 사천면 사천진리,good_ph,4,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 사천면 산대월리,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 사천면 석교리,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 사천면 판교리,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 성남동,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 성내동,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 성산면 관음리,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 성산면 구산리,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 성산면 금산리,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 성산면 보광리,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 성산면 산북리,good_ph,usually_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 성산면 송암리,good_ph,usually_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 성산면 어흘리,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 성산면 오봉리,good_ph,3,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 성산면 위촌리,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 송정동,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 신석동,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 안현동,high_ph,usually_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 연곡면 동덕리,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 연곡면 방내리,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 연곡면 삼산리,good_ph,3,usually_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 연곡면 송림리,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 연곡면 신왕리,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 연곡면 유등리,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 연곡면 퇴곡리,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 연곡면 행정리,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 옥계면 금진리,high_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 옥계면 낙풍리,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 옥계면 남양리,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 옥계면 도직리,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 옥계면 북동리,high_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
